ux uy uz
0.00000000e+00 -3.53459766e+02 2.17274290e+02
0.00000000e+00 -3.60636237e+02 2.17712769e+02
0.00000000e+00 -3.62609321e+02 2.18372063e+02
0.00000000e+00 -3.59277005e+02 2.18964125e+02
0.00000000e+00 -3.50648246e+02 2.19216902e+02
0.00000000e+00 -3.36829273e+02 2.18891857e+02
0.00000000e+00 -3.18012123e+02 2.17790031e+02
0.00000000e+00 -2.94466330e+02 2.15756239e+02
0.00000000e+00 -2.66531194e+02 2.12684985e+02
0.00000000e+00 -2.34606904e+02 2.08526628e+02
0.00000000e+00 -1.99144560e+02 2.03291027e+02
0.00000000e+00 -1.60635996e+02 1.97047007e+02
0.00000000e+00 -1.19604289e+02 1.89917648e+02
0.00000000e+00 -7.65953867e+01 1.82072353e+02
0.00000000e+00 -3.21708893e+01 1.73716765e+02
0.00000000e+00 1.30982015e+01 1.65081390e+02
0.00000000e+00 5.86370239e+01 1.56409487e+02
0.00000000e+00 1.03871949e+02 1.47944697e+02
0.00000000e+00 1.48235477e+02 1.39918879e+02
0.00000000e+00 1.91171156e+02 1.32540674e+02
0.00000000e+00 2.32138735e+02 1.25985337e+02
0.00000000e+00 2.70619666e+02 1.20386301e+02
0.00000000e+00 3.06123015e+02 1.15828882e+02
0.00000000e+00 3.38191731e+02 1.12346387e+02
0.00000000e+00 3.66409119e+02 1.09918795e+02
0.00000000e+00 3.90405316e+02 1.08474030e+02
0.00000000e+00 4.09863464e+02 1.07891759e+02
0.00000000e+00 4.24525304e+02 1.08009493e+02
0.00000000e+00 4.34195868e+02 1.08630704e+02
0.00000000e+00 4.38747022e+02 1.09534535e+02
0.00000000e+00 4.38119646e+02 1.10486631e+02
0.00000000e+00 4.32324316e+02 1.11250553e+02
0.00000000e+00 4.21440455e+02 1.11599223e+02
