ux uy uz
0.00000000e+00 -1.11869262e+02 -1.06118414e+01
0.00000000e+00 -1.16338861e+02 -1.05837064e+01
0.00000000e+00 -1.19106907e+02 -1.05258427e+01
0.00000000e+00 -1.20132466e+02 -1.04531365e+01
0.00000000e+00 -1.19401923e+02 -1.03816917e+01
0.00000000e+00 -1.16930599e+02 -1.03278581e+01
0.00000000e+00 -1.12763554e+02 -1.03071876e+01
0.00000000e+00 -1.06975520e+02 -1.03334310e+01
0.00000000e+00 -9.96707114e+01 -1.04176699e+01
0.00000000e+00 -9.09837683e+01 -1.05675822e+01
0.00000000e+00 -8.10817482e+01 -1.07867416e+01
0.00000000e+00 -7.01632145e+01 -1.10738986e+01
0.00000000e+00 -5.84473831e+01 -1.14224205e+01
0.00000000e+00 -4.61518944e+01 -1.18202153e+01
0.00000000e+00 -3.34764706e+01 -1.22501659e+01
0.00000000e+00 -2.06263237e+01 -1.26906664e+01
0.00000000e+00 -7.88635442e+00 -1.31164898e+01
0.00000000e+00 4.32238602e+00 -1.35021360e+01
0.00000000e+00 1.55337172e+01 -1.38291578e+01
0.00000000e+00 2.54939548e+01 -1.40915379e+01
0.00000000e+00 3.43140961e+01 -1.42875373e+01
0.00000000e+00 4.21517404e+01 -1.44011107e+01
0.00000000e+00 4.85906346e+01 -1.44001596e+01
0.00000000e+00 5.25520969e+01 -1.42620878e+01
0.00000000e+00 1.36655130e+01 2.14124862e+01
0.00000000e+00 8.96985492e+00 1.99002361e+01
0.00000000e+00 4.11584356e+00 1.90077627e+01
0.00000000e+00 -3.44188870e+00 1.85405455e+01
0.00000000e+00 -1.34450425e+01 1.82668280e+01
0.00000000e+00 -2.39503642e+01 1.79786534e+01
0.00000000e+00 -3.38126160e+01 1.75986713e+01
0.00000000e+00 -4.31671897e+01 1.71599971e+01
0.00000000e+00 -5.24381560e+01 1.67320582e+01
0.00000000e+00 -6.16553045e+01 1.63646737e+01
0.00000000e+00 -7.05146258e+01 1.60733533e+01
0.00000000e+00 -7.86730398e+01 1.58528343e+01
0.00000000e+00 -8.58904651e+01 1.56951850e+01
0.00000000e+00 -9.20117657e+01 1.55971405e+01
0.00000000e+00 -9.69147391e+01 1.55566130e+01
0.00000000e+00 -1.00490354e+02 1.55666903e+01
0.00000000e+00 -1.02649105e+02 1.56133553e+01
0.00000000e+00 -1.03330003e+02 1.56773762e+01
0.00000000e+00 -1.02502422e+02 1.57377065e+01
0.00000000e+00 -1.00163305e+02 1.57741483e+01
0.00000000e+00 -9.63342069e+01 1.57687179e+01
0.00000000e+00 -9.10596941e+01 1.57062269e+01
0.00000000e+00 -8.44064213e+01 1.55746910e+01
0.00000000e+00 -7.64619326e+01 1.53658102e+01
0.00000000e+00 -6.73328761e+01 1.50754432e+01
0.00000000e+00 -5.71427915e+01 1.47038988e+01
0.00000000e+00 -4.60297252e+01 1.42559328e+01
0.00000000e+00 -3.41438210e+01 1.37404422e+01
0.00000000e+00 -2.16449271e+01 1.31699104e+01
0.00000000e+00 -8.70021954e+00 1.25596744e+01
0.00000000e+00 4.51815826e+00 1.19270753e+01
